asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,1215362,8,0,1,1,GBYK,small,left,large,right
Prefix,1215363,8,0,1,1,GBYK,small,left,large,right
Prefix,1215364,8,0,1,1,GBYK,small,left,large,right
Prefix,1215365,8,0,1,1,GBYK,small,left,large,right
Prefix,1215366,8,0,1,1,GBYK,small,left,large,right
Prefix,1215367,8,0,1,1,GBYK,small,left,large,right
Prefix,1215368,8,0,1,1,GBYK,small,left,large,right
Prefix,1215369,8,0,1,1,GBYK,small,left,large,right
Prefix,1215370,8,0,1,1,GBYK,small,left,large,right
Prefix,1215371,8,0,1,1,GBYK,small,left,large,right
Prefix,1215372,8,0,1,1,GBYK,small,left,large,right
Prefix,1215373,8,0,1,1,GBYK,small,left,large,right
Prefix,1215374,8,0,1,1,GBYK,small,left,large,right
Prefix,1215375,8,0,1,1,GBYK,small,left,large,right
Prefix,1215376,8,0,1,1,GBYK,small,left,large,right
Prefix,1215377,8,0,1,1,GBYK,small,left,large,right
Prefix,1215378,8,0,1,1,GBYK,small,left,large,right
Prefix,1215379,8,0,1,1,GBYK,small,left,large,right
Prefix,1215380,8,0,1,1,GBYK,small,left,large,right
Prefix,1215381,8,0,1,1,GBYK,small,left,large,right
Prefix,1215382,8,0,1,1,GBYK,small,left,large,right
Prefix,1215383,8,0,1,1,GBYK,small,left,large,right
Prefix,1215384,8,0,1,1,GBYK,small,left,large,right
Prefix,1215385,8,0,1,1,GBYK,small,left,large,right
Prefix,1215386,8,0,1,1,GBYK,small,left,large,right
Prefix,1215387,8,0,1,1,GBYK,small,left,large,right
Prefix,1215388,8,0,1,1,GBYK,small,left,large,right
Prefix,1215389,8,0,1,1,GBYK,small,left,large,right
Prefix,1215390,8,0,1,1,GBYK,small,left,large,right
Prefix,1215391,8,0,1,1,GBYK,small,left,large,right
Prefix,1215392,8,0,1,1,GBYK,small,left,large,right
Prefix,1215393,8,0,1,1,GBYK,small,left,large,right
Prefix,1215394,8,0,1,1,GBYK,small,left,large,right
Prefix,1215395,8,0,1,1,GBYK,small,left,large,right
Prefix,1215396,8,0,1,1,GBYK,small,left,large,right
Prefix,1215397,8,0,1,1,GBYK,small,left,large,right
Prefix,1215398,8,0,1,1,GBYK,small,left,large,right
Prefix,1215399,8,0,1,1,GBYK,small,left,large,right
Prefix,1215400,8,0,1,1,GBYK,small,left,large,right
Prefix,1215401,8,0,1,1,GBYK,small,left,large,right
Prefix,1215402,8,0,1,1,GBYK,small,left,large,right
Prefix,1215403,8,0,1,1,GBYK,small,left,large,right
Prefix,1215404,8,0,1,1,GBYK,small,left,large,right
Prefix,1215405,8,0,1,1,GBYK,small,left,large,right
Prefix,1215406,8,0,1,1,GBYK,small,left,large,right
Prefix,1215407,8,0,1,1,GBYK,small,left,large,right
Prefix,1215408,8,0,1,1,GBYK,small,left,large,right
Prefix,1215409,8,0,1,1,GBYK,small,left,large,right
Prefix,1215410,8,0,1,1,GBYK,small,left,large,right
Prefix,1215411,8,0,1,1,GBYK,small,left,large,right
Prefix,1215412,8,0,1,1,GBYK,small,left,large,right
Prefix,1215413,8,0,1,1,GBYK,small,left,large,right
Prefix,1215414,8,0,1,1,GBYK,small,left,large,right
Prefix,1215415,8,0,1,1,GBYK,small,left,large,right
Prefix,1215416,8,0,1,1,GBYK,small,left,large,right
Prefix,1215417,8,0,1,1,GBYK,small,left,large,right
Prefix,1215418,8,0,1,1,GBYK,small,left,large,right
Prefix,1215419,8,0,1,1,GBYK,small,left,large,right
Prefix,1215420,8,0,1,1,GBYK,small,left,large,right
Prefix,1215421,8,0,1,1,GBYK,small,left,large,right
Prefix,1215422,8,0,1,1,GBYK,small,left,large,right
Prefix,1215423,8,0,1,1,GBYK,small,left,large,right
Prefix,1215424,8,0,1,1,GBYK,small,left,large,right
Prefix,1215425,8,0,1,1,GBYK,small,left,large,right
Prefix,1215426,8,0,1,1,GBYK,small,left,large,right
Prefix,1215427,8,0,1,1,GBYK,small,left,large,right
Prefix,1215428,8,0,1,1,GBYK,small,left,large,right
Prefix,1215429,8,0,1,1,GBYK,small,left,large,right
Prefix,1215430,8,0,1,1,GBYK,small,left,large,right
Prefix,1215431,8,0,1,1,GBYK,small,left,large,right
Prefix,1215432,8,0,1,1,GBYK,small,left,large,right
Prefix,1215433,8,0,1,1,GBYK,small,left,large,right
Prefix,1215434,8,0,1,1,GBYK,small,left,large,right
Prefix,1215435,8,0,1,1,GBYK,small,left,large,right
Prefix,1215436,8,0,1,1,GBYK,small,left,large,right
Prefix,1215437,8,0,1,1,GBYK,small,left,large,right
Prefix,1215438,8,0,1,1,GBYK,small,left,large,right
Prefix,1215439,8,0,1,1,GBYK,small,left,large,right
Prefix,1215440,8,0,1,1,GBYK,small,left,large,right
Prefix,1215441,8,0,1,1,GBYK,small,left,large,right
Prefix,1215442,8,0,1,1,GBYK,small,left,large,right
Prefix,1215443,8,0,1,1,GBYK,small,left,large,right
Prefix,1215444,8,0,1,1,GBYK,small,left,large,right
Prefix,1215445,8,0,1,1,GBYK,small,left,large,right
Prefix,1215446,8,0,1,1,GBYK,small,left,large,right
Prefix,1215447,8,0,1,1,GBYK,small,left,large,right
Prefix,1215448,8,0,1,1,GBYK,small,left,large,right
Prefix,1215449,8,0,1,1,GBYK,small,left,large,right
Prefix,1215450,8,0,1,1,GBYK,small,left,large,right
Prefix,1215451,8,0,1,1,GBYK,small,left,large,right
Prefix,1215452,8,0,1,1,GBYK,small,left,large,right
Prefix,1215453,8,0,1,1,GBYK,small,left,large,right
Prefix,1215454,8,0,1,1,GBYK,small,left,large,right
Prefix,1215455,8,0,1,1,GBYK,small,left,large,right
Prefix,1215456,8,0,1,1,GBYK,small,left,large,right
Prefix,1215457,8,0,1,1,GBYK,small,left,large,right
Prefix,1215458,8,0,1,1,GBYK,small,left,large,right
Prefix,1215459,8,0,1,1,GBYK,small,left,large,right
Prefix,1215460,8,0,1,1,GBYK,small,left,large,right
Prefix,1215461,8,0,1,1,GBYK,small,left,large,right
Prefix,1215462,8,0,1,1,GBYK,small,left,large,right
Prefix,1215463,8,0,1,1,GBYK,small,left,large,right
Prefix,1215464,8,0,1,1,GBYK,small,left,large,right
Prefix,1215465,8,0,1,1,GBYK,small,left,large,right
Prefix,1215466,8,0,1,1,GBYK,small,left,large,right
Prefix,1215467,8,0,1,1,GBYK,small,left,large,right
Prefix,1215468,8,0,1,1,GBYK,small,left,large,right
Prefix,1215469,8,0,1,1,GBYK,small,left,large,right
Prefix,1215470,8,0,1,1,GBYK,small,left,large,right
Prefix,1215471,8,0,1,1,GBYK,small,left,large,right
Prefix,1215472,8,0,1,1,GBYK,small,left,large,right
Prefix,1215473,8,0,1,1,GBYK,small,left,large,right
Prefix,1215474,8,0,1,1,GBYK,small,left,large,right
Prefix,1215475,8,0,1,1,GBYK,small,left,large,right
Prefix,1215476,8,0,1,1,GBYK,small,left,large,right
Prefix,1215477,8,0,1,1,GBYK,small,left,large,right
Prefix,1215478,8,0,1,1,GBYK,small,left,large,right
Prefix,1215479,8,0,1,1,GBYK,small,left,large,right
Prefix,1215480,8,0,1,1,GBYK,small,left,large,right
Prefix,1215481,8,0,1,1,GBYK,small,left,large,right
Prefix,1215482,8,0,1,1,GBYK,small,left,large,right
Prefix,1215483,8,0,1,1,GBYK,small,left,large,right
Prefix,1215484,8,0,1,1,GBYK,small,left,large,right
Prefix,1215485,8,0,1,1,GBYK,small,left,large,right
Prefix,1215486,8,0,1,1,GBYK,small,left,large,right
Prefix,1215487,8,0,1,1,GBYK,small,left,large,right
Prefix,1215488,8,0,1,1,GBYK,small,left,large,right
Prefix,1215489,8,0,1,1,GBYK,small,left,large,right
Prefix,1215490,8,0,1,1,GBYK,small,left,large,right
Prefix,1215491,8,0,1,1,GBYK,small,left,large,right
Prefix,1215492,8,0,1,1,GBYK,small,left,large,right
Prefix,1215493,8,0,1,1,GBYK,small,left,large,right
Prefix,1215494,8,0,1,1,GBYK,small,left,large,right
Prefix,1215495,8,0,1,1,GBYK,small,left,large,right
Prefix,1215496,8,0,1,1,GBYK,small,left,large,right
Prefix,1215497,8,0,1,1,GBYK,small,left,large,right
Prefix,1215498,8,0,1,1,GBYK,small,left,large,right
Prefix,1215499,8,0,1,1,GBYK,small,left,large,right
Prefix,1215500,8,0,1,1,GBYK,small,left,large,right
Prefix,1215501,8,0,1,1,GBYK,small,left,large,right
Prefix,1215502,8,0,1,1,GBYK,small,left,large,right
Prefix,1215503,8,0,1,1,GBYK,small,left,large,right
Prefix,1215504,8,0,1,1,GBYK,small,left,large,right
Prefix,1215505,8,0,1,1,GBYK,small,left,large,right
Prefix,1215506,8,0,1,1,GBYK,small,left,large,right
Prefix,1215507,8,0,1,1,GBYK,small,left,large,right
Prefix,1215508,8,0,1,1,GBYK,small,left,large,right
Prefix,1215509,8,0,1,1,GBYK,small,left,large,right
Prefix,1215510,8,0,1,1,GBYK,small,left,large,right
Prefix,1215511,8,0,1,1,GBYK,small,left,large,right
Prefix,1215512,8,0,1,1,GBYK,small,left,large,right
Prefix,1215513,8,0,1,1,GBYK,small,left,large,right
Prefix,1215514,8,0,1,1,GBYK,small,left,large,right
Prefix,1215515,8,0,1,1,GBYK,small,left,large,right
Prefix,1215516,8,0,1,1,GBYK,small,left,large,right
Prefix,1215517,8,0,1,1,GBYK,small,left,large,right
Prefix,1215518,8,0,1,1,GBYK,small,left,large,right
Prefix,1215519,8,0,1,1,GBYK,small,left,large,right
Prefix,1215520,8,0,1,1,GBYK,small,left,large,right
Prefix,1215521,8,0,1,1,GBYK,small,left,large,right
Prefix,1215522,8,0,1,1,GBYK,small,left,large,right
Prefix,1215523,8,0,1,1,GBYK,small,left,large,right
Prefix,1215524,8,0,1,1,GBYK,small,left,large,right
Prefix,1215525,8,0,1,1,GBYK,small,left,large,right
Prefix,1215526,8,0,1,1,GBYK,small,left,large,right
Prefix,1215527,8,0,1,1,GBYK,small,left,large,right
Prefix,1215528,8,0,1,1,GBYK,small,left,large,right
Prefix,1215529,8,0,1,1,GBYK,small,left,large,right
Prefix,1215530,8,0,1,1,GBYK,small,left,large,right
Prefix,1215531,8,0,1,1,GBYK,small,left,large,right
Prefix,1215532,8,0,1,1,GBYK,small,left,large,right
Prefix,1215533,8,0,1,1,GBYK,small,left,large,right
Prefix,1215534,8,0,1,1,GBYK,small,left,large,right
Prefix,1215535,8,0,1,1,GBYK,small,left,large,right
Prefix,1215536,8,0,1,1,GBYK,small,left,large,right
Prefix,1215537,8,0,1,1,GBYK,small,left,large,right
Prefix,1215538,8,0,1,1,GBYK,small,left,large,right
Prefix,1215539,8,0,1,1,GBYK,small,left,large,right
Prefix,1215540,8,0,1,1,GBYK,small,left,large,right
Prefix,1215541,8,0,1,1,GBYK,small,left,large,right
Prefix,1215542,8,0,1,1,GBYK,small,left,large,right
Prefix,1215543,8,0,1,1,GBYK,small,left,large,right
Prefix,1215544,8,0,1,1,GBYK,small,left,large,right
Prefix,1215545,8,0,1,1,GBYK,small,left,large,right
Prefix,1215546,8,0,1,1,GBYK,small,left,large,right
Prefix,1215547,8,0,1,1,GBYK,small,left,large,right
Prefix,1215548,8,0,1,1,GBYK,small,left,large,right
Prefix,1215549,8,0,1,1,GBYK,small,left,large,right
Prefix,1215550,8,0,1,1,GBYK,small,left,large,right
Prefix,1215551,8,0,1,1,GBYK,small,left,large,right
Prefix,1215552,8,0,1,1,GBYK,small,left,large,right
Prefix,1215553,8,0,1,1,GBYK,small,left,large,right
Prefix,1215554,8,0,1,1,GBYK,small,left,large,right
Prefix,1215555,8,0,1,1,GBYK,small,left,large,right
Prefix,1215556,8,0,1,1,GBYK,small,left,large,right
Prefix,1215557,8,0,1,1,GBYK,small,left,large,right
Prefix,1215558,8,0,1,1,GBYK,small,left,large,right
Prefix,1215559,8,0,1,1,GBYK,small,left,large,right
Prefix,1215560,8,0,1,1,GBYK,small,left,large,right
Prefix,1215561,8,0,1,1,GBYK,small,left,large,right
Prefix,1215562,8,0,1,1,GBYK,small,left,large,right
Prefix,1215563,8,0,1,1,GBYK,small,left,large,right
Prefix,1215564,8,0,1,1,GBYK,small,left,large,right
Prefix,1215565,8,0,1,1,GBYK,small,left,large,right
Prefix,1215566,8,0,1,1,GBYK,small,left,large,right
Prefix,1215567,8,0,1,1,GBYK,small,left,large,right
Prefix,1215568,8,0,1,1,GBYK,small,left,large,right
Prefix,1215569,8,0,1,1,GBYK,small,left,large,right
Prefix,1215570,8,0,1,1,GBYK,small,left,large,right
Prefix,1215571,8,0,1,1,GBYK,small,left,large,right
Prefix,1215572,8,0,1,1,GBYK,small,left,large,right
Prefix,1215573,8,0,1,1,GBYK,small,left,large,right
Prefix,1215574,8,0,1,1,GBYK,small,left,large,right
Prefix,1215575,8,0,1,1,GBYK,small,left,large,right
Prefix,1215576,8,0,1,1,GBYK,small,left,large,right
Prefix,1215577,8,0,1,1,GBYK,small,left,large,right
Prefix,1215578,8,0,1,1,GBYK,small,left,large,right
Prefix,1215579,8,0,1,1,GBYK,small,left,large,right
Prefix,1215635,8,0,1,2,GBYK,small,right,small,left
Prefix,1215636,8,0,1,2,GBYK,small,right,small,left
Prefix,1215637,8,0,1,2,GBYK,small,right,small,left
Prefix,1215638,8,0,1,2,GBYK,small,right,small,left
Prefix,1215639,8,0,1,2,GBYK,small,right,small,left
Prefix,1215640,8,0,1,2,GBYK,small,right,small,left
Prefix,1215641,8,0,1,2,GBYK,small,right,small,left
Prefix,1215642,8,0,1,2,GBYK,small,right,small,left
Prefix,1215643,8,0,1,2,GBYK,small,right,small,left
Prefix,1215644,8,0,1,2,GBYK,small,right,small,left
Prefix,1215645,8,0,1,2,GBYK,small,right,small,left
Prefix,1215646,8,0,1,2,GBYK,small,right,small,left
Prefix,1215647,8,0,1,2,GBYK,small,right,small,left
Prefix,1215648,8,0,1,2,GBYK,small,right,small,left
Prefix,1215649,8,0,1,2,GBYK,small,right,small,left
Prefix,1215650,8,0,1,2,GBYK,small,right,small,left
Prefix,1215651,8,0,1,2,GBYK,small,right,small,left
Prefix,1215652,8,0,1,2,GBYK,small,right,small,left
Prefix,1215653,8,0,1,2,GBYK,small,right,small,left
Prefix,1215654,8,0,1,2,GBYK,small,right,small,left
Prefix,1215655,8,0,1,2,GBYK,small,right,small,left
Prefix,1215656,8,0,1,2,GBYK,small,right,small,left
Prefix,1215657,8,0,1,2,GBYK,small,right,small,left
Prefix,1215658,8,0,1,2,GBYK,small,right,small,left
Prefix,1215659,8,0,1,2,GBYK,small,right,small,left
Prefix,1215660,8,0,1,2,GBYK,small,right,small,left
Prefix,1215661,8,0,1,2,GBYK,small,right,small,left
Prefix,1215662,8,0,1,2,GBYK,small,right,small,left
Prefix,1215663,8,0,1,2,GBYK,small,right,small,left
Prefix,1215664,8,0,1,2,GBYK,small,right,small,left
Prefix,1215665,8,0,1,2,GBYK,small,right,small,left
Prefix,1215666,8,0,1,2,GBYK,small,right,small,left
Prefix,1215667,8,0,1,2,GBYK,small,right,small,left
Prefix,1215668,8,0,1,2,GBYK,small,right,small,left
Prefix,1215669,8,0,1,2,GBYK,small,right,small,left
Prefix,1215670,8,0,1,2,GBYK,small,right,small,left
Prefix,1215671,8,0,1,2,GBYK,small,right,small,left
Prefix,1215672,8,0,1,2,GBYK,small,right,small,left
Prefix,1215673,8,0,1,2,GBYK,small,right,small,left
Prefix,1215674,8,0,1,2,GBYK,small,right,small,left
Prefix,1215675,8,0,1,2,GBYK,small,right,small,left
Prefix,1215676,8,0,1,2,GBYK,small,right,small,left
Prefix,1215677,8,0,1,2,GBYK,small,right,small,left
Prefix,1215678,8,0,1,2,GBYK,small,right,small,left
Prefix,1215679,8,0,1,2,GBYK,small,right,small,left
Prefix,1215680,8,0,1,2,GBYK,small,right,small,left
Prefix,1215681,8,0,1,2,GBYK,small,right,small,left
Prefix,1215682,8,0,1,2,GBYK,small,right,small,left
Prefix,1215683,8,0,1,2,GBYK,small,right,small,left
Prefix,1215684,8,0,1,2,GBYK,small,right,small,left
Prefix,1215685,8,0,1,2,GBYK,small,right,small,left
Prefix,1215686,8,0,1,2,GBYK,small,right,small,left
Prefix,1215687,8,0,1,2,GBYK,small,right,small,left
Prefix,1215688,8,0,1,2,GBYK,small,right,small,left
Prefix,1215689,8,0,1,2,GBYK,small,right,small,left
Prefix,1215690,8,0,1,2,GBYK,small,right,small,left
Prefix,1215691,8,0,1,2,GBYK,small,right,small,left
Prefix,1215692,8,0,1,2,GBYK,small,right,small,left
Prefix,1215693,8,0,1,2,GBYK,small,right,small,left
Prefix,1215694,8,0,1,2,GBYK,small,right,small,left
Prefix,1215695,8,0,1,2,GBYK,small,right,small,left
Prefix,1215696,8,0,1,2,GBYK,small,right,small,left
Prefix,1215697,8,0,1,2,GBYK,small,right,small,left
Prefix,1215698,8,0,1,2,GBYK,small,right,small,left
Prefix,1215699,8,0,1,2,GBYK,small,right,small,left
Prefix,1215700,8,0,1,2,GBYK,small,right,small,left
Prefix,1215701,8,0,1,2,GBYK,small,right,small,left
Prefix,1215702,8,0,1,2,GBYK,small,right,small,left
Prefix,1215703,8,0,1,2,GBYK,small,right,small,left
Prefix,1215704,8,0,1,2,GBYK,small,right,small,left
Prefix,1215705,8,0,1,2,GBYK,small,right,small,left
Prefix,1215706,8,0,1,2,GBYK,small,right,small,left
Prefix,1215707,8,0,1,2,GBYK,small,right,small,left
Prefix,1215708,8,0,1,2,GBYK,small,right,small,left
Prefix,1215709,8,0,1,2,GBYK,small,right,small,left
Prefix,1215710,8,0,1,2,GBYK,small,right,small,left
Prefix,1215711,8,0,1,2,GBYK,small,right,small,left
Prefix,1215712,8,0,1,2,GBYK,small,right,small,left
Prefix,1215713,8,0,1,2,GBYK,small,right,small,left
Prefix,1215714,8,0,1,2,GBYK,small,right,small,left
Prefix,1215715,8,0,1,2,GBYK,small,right,small,left
Prefix,1215716,8,0,1,2,GBYK,small,right,small,left
Prefix,1215717,8,0,1,2,GBYK,small,right,small,left
Prefix,1215718,8,0,1,2,GBYK,small,right,small,left
Prefix,1215719,8,0,1,2,GBYK,small,right,small,left
Prefix,1215720,8,0,1,2,GBYK,small,right,small,left
Prefix,1215721,8,0,1,2,GBYK,small,right,small,left
Prefix,1215722,8,0,1,2,GBYK,small,right,small,left
Prefix,1215723,8,0,1,2,GBYK,small,right,small,left
Prefix,1215724,8,0,1,2,GBYK,small,right,small,left
Prefix,1215725,8,0,1,2,GBYK,small,right,small,left
Prefix,1215726,8,0,1,2,GBYK,small,right,small,left
Prefix,1215727,8,0,1,2,GBYK,small,right,small,left
Prefix,1215728,8,0,1,2,GBYK,small,right,small,left
Prefix,1215729,8,0,1,2,GBYK,small,right,small,left
Prefix,1215730,8,0,1,2,GBYK,small,right,small,left
Prefix,1215731,8,0,1,2,GBYK,small,right,small,left
Prefix,1215732,8,0,1,2,GBYK,small,right,small,left
Prefix,1215733,8,0,1,2,GBYK,small,right,small,left
Prefix,1215734,8,0,1,2,GBYK,small,right,small,left
Prefix,1215735,8,0,1,2,GBYK,small,right,small,left
Prefix,1215736,8,0,1,2,GBYK,small,right,small,left
Prefix,1215737,8,0,1,2,GBYK,small,right,small,left
Prefix,1215738,8,0,1,2,GBYK,small,right,small,left
Prefix,1215739,8,0,1,2,GBYK,small,right,small,left
Prefix,1215740,8,0,1,2,GBYK,small,right,small,left
Prefix,1215741,8,0,1,2,GBYK,small,right,small,left
Prefix,1215742,8,0,1,2,GBYK,small,right,small,left
Prefix,1215743,8,0,1,2,GBYK,small,right,small,left
Prefix,1215744,8,0,1,2,GBYK,small,right,small,left
Prefix,1215745,8,0,1,2,GBYK,small,right,small,left
Prefix,1215746,8,0,1,2,GBYK,small,right,small,left
Prefix,1215747,8,0,1,2,GBYK,small,right,small,left
Prefix,1215748,8,0,1,2,GBYK,small,right,small,left
Prefix,1215749,8,0,1,2,GBYK,small,right,small,left
Prefix,1215750,8,0,1,2,GBYK,small,right,small,left
Prefix,1215751,8,0,1,2,GBYK,small,right,small,left
Prefix,1215752,8,0,1,2,GBYK,small,right,small,left
Prefix,1215753,8,0,1,2,GBYK,small,right,small,left
Prefix,1215754,8,0,1,2,GBYK,small,right,small,left
Prefix,1215755,8,0,1,2,GBYK,small,right,small,left
Prefix,1215756,8,0,1,2,GBYK,small,right,small,left
Prefix,1215757,8,0,1,2,GBYK,small,right,small,left
Prefix,1215758,8,0,1,2,GBYK,small,right,small,left
Prefix,1215759,8,0,1,2,GBYK,small,right,small,left
Prefix,1215760,8,0,1,2,GBYK,small,right,small,left
Prefix,1215761,8,0,1,2,GBYK,small,right,small,left
Prefix,1215762,8,0,1,2,GBYK,small,right,small,left
Prefix,1215763,8,0,1,2,GBYK,small,right,small,left
Prefix,1215764,8,0,1,2,GBYK,small,right,small,left
Prefix,1215765,8,0,1,2,GBYK,small,right,small,left
Prefix,1215766,8,0,1,2,GBYK,small,right,small,left
Prefix,1215767,8,0,1,2,GBYK,small,right,small,left
Prefix,1215768,8,0,1,2,GBYK,small,right,small,left
Prefix,1215769,8,0,1,2,GBYK,small,right,small,left
Prefix,1215770,8,0,1,2,GBYK,small,right,small,left
Prefix,1215771,8,0,1,2,GBYK,small,right,small,left
Prefix,1215772,8,0,1,2,GBYK,small,right,small,left
Prefix,1215773,8,0,1,2,GBYK,small,right,small,left
Prefix,1215774,8,0,1,2,GBYK,small,right,small,left
Prefix,1215775,8,0,1,2,GBYK,small,right,small,left
Prefix,1215776,8,0,1,2,GBYK,small,right,small,left
Prefix,1215777,8,0,1,2,GBYK,small,right,small,left
Prefix,1215778,8,0,1,2,GBYK,small,right,small,left
Prefix,1215779,8,0,1,2,GBYK,small,right,small,left
Prefix,1215780,8,0,1,2,GBYK,small,right,small,left
Prefix,1215781,8,0,1,2,GBYK,small,right,small,left
Prefix,1215782,8,0,1,2,GBYK,small,right,small,left
Prefix,1215783,8,0,1,2,GBYK,small,right,small,left
Prefix,1215784,8,0,1,2,GBYK,small,right,small,left
Prefix,1215785,8,0,1,2,GBYK,small,right,small,left
Prefix,1215786,8,0,1,2,GBYK,small,right,small,left
Prefix,1215787,8,0,1,2,GBYK,small,right,small,left
Prefix,1215788,8,0,1,2,GBYK,small,right,small,left
Prefix,1215789,8,0,1,2,GBYK,small,right,small,left
Prefix,1215790,8,0,1,2,GBYK,small,right,small,left
Prefix,1215791,8,0,1,2,GBYK,small,right,small,left
Prefix,1215792,8,0,1,2,GBYK,small,right,small,left
Prefix,1215793,8,0,1,2,GBYK,small,right,small,left
Prefix,1215794,8,0,1,2,GBYK,small,right,small,left
Prefix,1215795,8,0,1,2,GBYK,small,right,small,left
Prefix,1215796,8,0,1,2,GBYK,small,right,small,left
Prefix,1215797,8,0,1,2,GBYK,small,right,small,left
Prefix,1215798,8,0,1,2,GBYK,small,right,small,left
Prefix,1215799,8,0,1,2,GBYK,small,right,small,left
Prefix,1215800,8,0,1,2,GBYK,small,right,small,left
Prefix,1215801,8,0,1,2,GBYK,small,right,small,left
Prefix,1215802,8,0,1,2,GBYK,small,right,small,left
Prefix,1215803,8,0,1,2,GBYK,small,right,small,left
Prefix,1215804,8,0,1,2,GBYK,small,right,small,left
Prefix,1215805,8,0,1,2,GBYK,small,right,small,left
Prefix,1215806,8,0,1,2,GBYK,small,right,small,left
Prefix,1215807,8,0,1,2,GBYK,small,right,small,left
Prefix,1215808,8,0,1,2,GBYK,small,right,small,left
Prefix,1215809,8,0,1,2,GBYK,small,right,small,left
Prefix,1215810,8,0,1,2,GBYK,small,right,small,left
Prefix,1215811,8,0,1,2,GBYK,small,right,small,left
Prefix,1215812,8,0,1,2,GBYK,small,right,small,left
Prefix,1215813,8,0,1,2,GBYK,small,right,small,left
Prefix,1215814,8,0,1,2,GBYK,small,right,small,left
Prefix,1215815,8,0,1,2,GBYK,small,right,small,left
Prefix,1215816,8,0,1,2,GBYK,small,right,small,left
Prefix,1215817,8,0,1,2,GBYK,small,right,small,left
Prefix,1215818,8,0,1,2,GBYK,small,right,small,left
Prefix,1215819,8,0,1,2,GBYK,small,right,small,left
Prefix,1215820,8,0,1,2,GBYK,small,right,small,left
Prefix,1215821,8,0,1,2,GBYK,small,right,small,left
Prefix,1215822,8,0,1,2,GBYK,small,right,small,left
Prefix,1215823,8,0,1,2,GBYK,small,right,small,left
Prefix,1215824,8,0,1,2,GBYK,small,right,small,left
Prefix,1215825,8,0,1,2,GBYK,small,right,small,left
Prefix,1215826,8,0,1,2,GBYK,small,right,small,left
Prefix,1215827,8,0,1,2,GBYK,small,right,small,left
Prefix,1215828,8,0,1,2,GBYK,small,right,small,left
Prefix,1215829,8,0,1,2,GBYK,small,right,small,left
Prefix,1215830,8,0,1,2,GBYK,small,right,small,left
Prefix,1215831,8,0,1,2,GBYK,small,right,small,left
Prefix,1215832,8,0,1,2,GBYK,small,right,small,left
Prefix,1215833,8,0,1,2,GBYK,small,right,small,left
Prefix,1215834,8,0,1,2,GBYK,small,right,small,left
Prefix,1215835,8,0,1,2,GBYK,small,right,small,left
Prefix,1215836,8,0,1,2,GBYK,small,right,small,left
Prefix,1215837,8,0,1,2,GBYK,small,right,small,left
Prefix,1215838,8,0,1,2,GBYK,small,right,small,left
Prefix,1215839,8,0,1,2,GBYK,small,right,small,left
Prefix,1215840,8,0,1,2,GBYK,small,right,small,left
Prefix,1215841,8,0,1,2,GBYK,small,right,small,left
Prefix,1215842,8,0,1,2,GBYK,small,right,small,left
Prefix,1215843,8,0,1,2,GBYK,small,right,small,left
Prefix,1215844,8,0,1,2,GBYK,small,right,small,left
Prefix,1215845,8,0,1,2,GBYK,small,right,small,left
Prefix,1215846,8,0,1,2,GBYK,small,right,small,left
Prefix,1215847,8,0,1,2,GBYK,small,right,small,left
Prefix,1215848,8,0,1,2,GBYK,small,right,small,left
Prefix,1215849,8,0,1,2,GBYK,small,right,small,left
Prefix,1215850,8,0,1,2,GBYK,small,right,small,left
Prefix,1215851,8,0,1,2,GBYK,small,right,small,left
Prefix,1215852,8,0,1,2,GBYK,small,right,small,left
Prefix,1215853,8,0,1,2,GBYK,small,right,small,left
Prefix,1215854,8,0,1,2,GBYK,small,right,small,left
Prefix,1215855,8,0,1,2,GBYK,small,right,small,left
Prefix,1215856,8,0,1,2,GBYK,small,right,small,left
Prefix,1215857,8,0,1,2,GBYK,small,right,small,left
Prefix,1215858,8,0,1,2,GBYK,small,right,small,left
Prefix,1215859,8,0,1,2,GBYK,small,right,small,left
Prefix,1215860,8,0,1,2,GBYK,small,right,small,left
Prefix,1215861,8,0,1,2,GBYK,small,right,small,left
Prefix,1215862,8,0,1,2,GBYK,small,right,small,left
Prefix,1215863,8,0,1,2,GBYK,small,right,small,left
Prefix,1215864,8,0,1,2,GBYK,small,right,small,left
Prefix,1215865,8,0,1,2,GBYK,small,right,small,left
Prefix,1215866,8,0,1,2,GBYK,small,right,small,left
Prefix,1215867,8,0,1,2,GBYK,small,right,small,left
Prefix,1215868,8,0,1,2,GBYK,small,right,small,left
Prefix,1215869,8,0,1,2,GBYK,small,right,small,left
Prefix,1215870,8,0,1,2,GBYK,small,right,small,left
Prefix,1215871,8,0,1,2,GBYK,small,right,small,left
Prefix,1215872,8,0,1,2,GBYK,small,right,small,left
Prefix,1215873,8,0,1,2,GBYK,small,right,small,left
Prefix,1215874,8,0,1,2,GBYK,small,right,small,left
Prefix,1215875,8,0,1,2,GBYK,small,right,small,left
